Q0	كم نقطة تخلى عنها دفاع البانثرز؟
Q1	كم عدد الاستحواذات التي قام بها جاريد ألين في مسيرته؟
Q2	كم عرقلة سجل لوك كوتشلي؟
Q3	كم من كرة اعترض جوش نورمان؟
Q4	من سجل أعلى عدد من الاستحواذات للفريق هذا الموسم؟
Q5	كم عدد الاعتراضات التي سُجلت لصالح دفاع البانثرز في 2015؟
Q6	من تصدر البانثرز في الاستحواذات؟
Q7	كم عدد لاعبي دفاع فريق البانثرز الذين اختيروا في البرو بول؟
Q8	كم عدد الأخطاء التي أجبر توماس ديفيس الخصم على ارتكابها؟
Q9	من هو اللاعب الذي حاز على أكثر الاعتراضات في الموسم؟
Q10	كم عدد اعتراضات موسم 2015 التي حصل عليها دفاع البانثرز؟
Q11	من كان لديه خمسة استحواذات في تسع مباريات كأساسي في فريق كارولينا بانثرز؟
Q12	من كان المتصدر في عدد العرقلات في فريق البانثرز في 2015؟
Q13	كم عدد الاعتراضات التي سجل بها جوش نورمان أهدافاً في عام 2015؟
Q14	من الذي خسر أمام البرونكوس في الجولة الفاصلة؟
Q15	كم عدد النقاط التي سجلها البرونكوس في الدقائق الثلاث الأخيرة من المباراة ضد بيتسبرغ؟
Q16	من فاز بالسوبر بول 49؟
Q17	ماذا كنت النتيجة النهائية لمباراة بطولة رابطة كرة القدم الأمريكية؟
Q18	كم من الوقت كان متبقياً عندما اعترض البرونكوس الاعتراض الذي منحهم الفوز في مباراة بطولة رابطة كرة القدم الأمريكية؟
Q19	من هو الفريق الفائز في الجولة الفاصلة بين البرونكوس و الستيلرز؟
Q20	ما هي النتيجة النهائية للمباراة بين البرونكوس و الستيلرز؟
Q21	من فاز بالسوبر بول 49؟
Q22	كم عدد الثواني التي كانت متبقية في المباراة عندما اعترض البرونكوس التمريرة التي منحتهم الفوز في المباراة؟
Q23	خلال مباراة البرونكوس الفاصلة، من لم يرمي على الإطلاق؟
Q24	من الذي فاز عليه البرونكوس في المباراة الفاصلة؟
Q25	كم عدد النقاط التي سجلها البرونكوس في الدقائق الثلاث الأخيرة من مباراة بيتسبرغ؟
Q26	من الذين هزمهم البرونكوس في مباراة بطولة رابطة كرة القدم الأمريكية؟
Q27	من الذين هزمهم البرونكوس ليفوزوا بمباراتهم الفاصلة في عام 2015؟
Q28	من الذين هزمهم البرونكوس ليصبحوا أ[طال رابطة كرة القدم الأمريكية؟
Q29	كم كان عدد الثواني المتبقية في المباراة عندما فشل الباتريوتس في محاولتهم تحويل نقطتين؟
Q30	كم كان عمر بايتون مانينغ عندما لعب في سوبر بول 50؟
Q31	من الذي سبق له أن حمل الرقم القياسي لكونه أسن ظهير رباعي يلعب في سوبر بول؟
Q32	كم كان عمر جون إلواي عندما لعب في السوبر بول 33؟
Q33	ما هو الدور الذي يلعبه جون إلواي حاليًا في فريق البرونكوس؟
Q34	ما هو الفريق الذي لعب له جون إلواي في السوبر بول 33؟
Q35	ما الفريق الذي فاز في السوبر بول 33؟
Q36	من هو المدير العام للبرونكوس؟
Q37	كم كان عمر إلواي أثناء فوزه بـالسوبر بول 33؟
Q38	من لديه الرقم القياسي بكونه أسن ظهير رباعي في أي مباراة سوبر بولl؟
Q39	كم عدد الفرق التي لعب لها مانينغ والتي وصلت إلى السوبر بول، بينما كان في صفوفها؟
Q40	كم عدد الفرق المختلفة التي قادها بايتون مانينغ إلى السوبر بول؟
Q41	من هو الظهير الرباعي الأكبر سناً الذي لعب في مباراة سوبر بول؟
Q42	قبل مانينغ، من هو أسن ظهير رباعي لعب في السوبر بول؟
Q43	أي سوبر بول فاز بها إلواي في سن 38؟
Q44	من كان أول ظهير رباعي يقود فريقين إلى أكثر من سوبر بول واحدة؟
Q45	كم كان عمر مانينغ عندما لعب في سوبر بول 50؟
Q46	ما هو اسم الظهير الرباعي الذي كان سنه 8 سنة في السوبر بول 33؟
Q47	كم عدد جوائز الغرامي التي فازت ليدي غاغا بها؟
Q48	ماذا غنت ليدي غاغا؟
Q49	ما هي الجائزة التي فازت بها مارلي ماتلين؟
Q50	ماذا ترجمت مارلي ماتلين؟
