Q0	Wie viele Punkte gab die Verteidigung der Panthers ab?
Q1	Wie viele Sacks erzielte Jared Allen in seiner Karriere?
Q2	Wie viele Tackles wurden bei Luke Kuechly registriert?
Q3	Wie viele Bälle fing Josh Norman ab?
Q4	Wer hatte in dieser Saison die meisten Sacks im Team?
Q5	Wie viele Interceptions wurden der Verteidigung der Panthers im Jahr 2015 angerechnet?
Q6	Wer führte die Panther bei den Sacks an?
Q7	Wie viele Verteidigungsspieler der Panthers wurden für den Pro Bowl ausgewählt?
Q8	Wie viele erzwungene Fumbles hatte Thomas Davis?
Q9	Welcher Spieler hatte die meisten Interceptions der Saison?
Q10	Wie viele Interceptions erzielte die Verteidigung der Panthers in der Saison 2015?
Q11	Wer erzielte als Carolina Panthers-Starter fünf Sacks in neun Spielen?
Q12	Wer führte die Panthers 2015 bei den Tackles an?
Q13	Mit wie vielen Interceptions erzielte Josh Norman im Jahr 2015 Touchdowns?
Q14	Wer verlor in der Divisional Round gegen die Broncos?
Q15	Wie viele Punkte erzielten die Broncos in den letzten drei Minuten des Spiels gegen Pittsburgh?
Q16	Wer gewann den Super Bowl XLIX?
Q17	Wie lautete der Endstand des AFC-Championship-Spiels?
Q18	Wie viel Zeit verblieb, als den Broncos die Interception gelang, die das AFC-Championship-Spiel entschied?
Q19	Welches Team war der Sieger der Divisional Round im Spiel der Broncos gegen die Steelers?
Q20	Wie lautete das Endergebnis des Spiels der Broncos gegen die Steelers?
Q21	Wer gewann den Super Bowl XLIX?
Q22	Wie viele Sekunden Spielzeit verblieben, als die Broncos den Pass abfingen, der das Spiel gewann?
Q23	Wer verfehlte während der Playoff-Spiele der Broncos keine Interception?
Q24	Wen schlugen die Broncos in der Divisional Round?
Q25	Wie viele Punkte erzielten die Broncos in den letzten drei Minuten des Pittsburgh-Spiels?
Q26	Wen besiegten die Broncos im AFC-Championship-Spiel?
Q27	Wen schlugen die Broncos 2015, um in ihrer Division zu gewinnen?
Q28	Wen schlugen die Broncos, um AFC-Champion zu werden?
Q29	Wie viele Sekunden verblieben im Spiel, als die 2-Point Conversion der Patriots fehlschlug?
Q30	Wie alt war Peyton Manning, als er im Super Bowl 50 spielte?
Q31	Wer hielt zuvor den Rekord als ältester Quarterback, der in einem Super Bowl mitspielte?
Q32	Wie alt war John Elway, als er im Super Bowl XXXIII spielte?
Q33	Welche Position hat John Elway derzeit im Broncos-Franchise inne?
Q34	Für wen spielte John Elway im Super Bowl XXXIII?
Q35	Welches Team gewann den Super Bowl XXXIII?
Q36	Wer ist der General Manager der Broncos?
Q37	Wie alt war Elway während seines Sieges im Super Bowl XXXIII?
Q38	Wer hält den Rekord für den ältesten Quarterback in einem Super Bowl-Spiel?
Q39	Für wie viele Teams, die den Super Bowl erreichten, spielte Manning?
Q40	Wie viele verschiedene Teams führte Peyton Manning zum Super Bowl?
Q41	Wer ist der älteste Quarterback, der je in einem Super Bowl gespielt hat?
Q42	Wer war vor Manning der älteste Quarterback, der je in einem Super Bowl gespielt hat?
Q43	Welchen Super Bowl gewann Elway im Alter von 38 Jahren?
Q44	Wer war der erste Quarterback, der zwei Teams zu mehr als einem Super Bowl führte?
Q45	Wie alt war Manning, als er im Super Bowl 50 mitspielte?
Q46	Wie heißt der Quarterback, der während des Super Bowl XXXIII 38 Jahre alt war?
Q47	Wie viele Grammys gewann Lady Gaga?
Q48	Was hat Lady Gaga gesungen?
Q49	Welche Auszeichnung erhielt Marlee Matlin?
Q50	Was übersetzte Marlee Matlin?
Q51	In welche Sprache übersetzte Marlee Matlin die Nationalhymne?
Q52	Wer sang die Nationalhymne?
Q53	Welche Schauspielerin übersetzte beim Spiel in die Amerikanische Gebärdensprache?
Q54	Wer sang die Nationalhymne beim Super Bowl 50?
Q55	Welcher Schauspieler übersetzte beim Super Bowl 50 die Nationalhymne in die Gebärdensprache?
Q56	Wer sang die Nationalhymne beim Super Bowl 50?
Q57	Wie viele Grammy Awards hat Lady Gaga laut Text gewonnen?
Q58	Wer übersetzte die Nationalhymne beim Super Bowl 50 in die Gebärdensprache?
Q59	Auf welcher Yard Line begann Carolina mit 4:51 verbleibenden Minuten im Spiel?
Q60	Wer erzielte einen Fumble beim 3rd-and-9?
Q61	Welcher Panther-Verteidiger wurde abgestraft, weil er den Ball beim Third Down festhielt?
Q62	Welcher Spieler erzielte einen Touchdown von der 2-Yard Line aus?
Q63	Wer gewann die erfolgreiche 2-Point Conversion?
Q64	Wer nahm Newton den Ball beim 3rd-and-9 ab?
Q65	Wer nahm den abgenommenen Ball auf?
Q66	Welcher Spieler wurde kritisiert, weil er nicht in den Pile sprang, um den Ball zu retten?
Q67	Welcher Panthers-Spieler erhielt eine Strafe, was den Broncos ein neues Set an Downs bescherte?
Q68	Wie viel Zeit verblieb im Spiel, als Denver einen Punktestand von 24-10 erreichte?
Q69	Wie viel Zeit verblieb, als Carolina im vierten Quarter den Ball auf ihre 24-Yard-Line brachte?
