Q0	How many points did the Panthers defense surrender?
Q1	How many career sacks did Jared Allen have?
Q2	How many tackles did Luke Kuechly register?
Q3	How many balls did Josh Norman intercept?
Q4	Who registered the most sacks on the team this season?
Q5	How many interceptions are the Panthers defense credited with in 2015?
Q6	Who led the Panthers in sacks?
Q7	How many Panthers defense players were selected for the Pro Bowl?
Q8	How many forced fumbles did Thomas Davis have?
Q9	Which player had the most interceptions for the season?
Q10	How many 2015 season interceptions did the Panthers' defense get?
Q11	Who had five sacks in nine games as a Carolina Panthers starter?
Q12	Who was the Panthers' tackle leader for 2015?
Q13	How many interceptions did Josh Norman score touchdowns with in 2015?
Q14	Who lost to the Broncos in the divisional round?
Q15	How many points did the Broncos score in the last three minutes of the game versus Pittsburgh?
Q16	Who won Super Bowl XLIX?
Q17	What was the final score of the AFC Championship Game?
Q18	How much time remained on the clock when the Broncos made the interception that clinched the AFC Championship Game?
Q19	What team was the divisional round winner between the Broncos and Steelers?
Q20	What was the final score of the game between the Broncos and Steelers?
Q21	Who won Super Bowl XLIX?
Q22	How many seconds were left in the game when the Broncos intercepted the pass that won the game?
Q23	During the Bronco's playoff games, who did not throw at all?
Q24	Who did the Broncos beat in the divisional game?
Q25	How many points did the Broncos score in the final three minutes of the Pittsburgh game?
Q26	Who did the Broncos defeat in the AFC Championship game?
Q27	Who did the Broncos beat to win their division in 2015?
Q28	Who did the Broncos beat tp become the AFC champions?
Q29	How many seconds were left in the game when the Patriots failed their 2-point conversion?
Q30	How old was Peyton Manning when he played in Super Bowl 50?
Q31	Who previously held the record for being the oldest quarterback to play in a Super Bowl?
Q32	How old was John Elway when he played in Super Bowl XXXIII?
Q33	What role does John Elway currently have in the Broncos franchise?
Q34	Who did John Elway play for in Super Bowl XXXIII?
Q35	What team was the winner of Super Bowl XXXIII?
Q36	Who is the General Manager for the Broncos?
Q37	How old was Elway during his Super Bowl XXXIII win?
Q38	Who has the record of being the oldest quarter back in any Super Bowl game?
Q39	How many teams has Manning played for that reached the Super Bowl, while he was on their team?
Q40	Peyton Manning took how many different teams to the Super Bowl?
Q41	Who is the oldest quarterback to play in a Super Bowl?
Q42	Prior to Manning, who was the oldest quarterback to play in a Super Bowl?
Q43	Which Super Bowl did Elway win at 38 years old?
Q44	Who was the first quarterback to take two teams to more than one Super Bowl?
Q45	How old was Manning when he played Super Bowl 50?
Q46	What is the name of the quarterback who was 38 in Super Bowl XXXIII?
Q47	How many Grammys has Lady Gaga won?
Q48	What did Lady Gaga sing?
Q49	What award has Marlee Matlin won?
Q50	What did Marlee Matlin translate?
Q51	Into what language did Marlee Matlin translate the national anthem?
Q52	Who sang the national anthem?
Q53	What actress did the ASL translation for the game?
