Q0	Сколько очков уступила защита Пэнтерс?
Q1	Сколько мешков за карьеру было у Джареда Аллена?
Q2	Сколько блокировок записал на свой счет Люк Кикли?
Q3	Сколько мячей перехватил Джош Норман?
Q4	Кто больше записал на свой счет мешков в команде в этом сезоне?
Q5	Сколько перехватов приписывают защите Пэнтерс в 2015 году?
Q6	Кто был лидером Пэнтерс по мешкам?
Q7	Сколько игроков защиты Пэнтерс было выбрано для Пробоула?
Q8	Сколько вынужденных потерь мяча имел Томас Дэвис?
Q9	У какого игрока было больше всего перехватов в течение сезона?
Q10	Сколько перехватов в сезоне 2015 года сделала защита Пэнтерс?
Q11	У кого было пять мешков в девяти играх в качестве участника Каролина Пэнтерс?
Q12	Кто был лидером по количеству блокировок в Пэнтерс в 2015 году?
Q13	Сколько перехватов, сделанных Джошем Норманном, были завершены тачдауном в 2015 году?
Q14	Кто проиграл Бронкосу в дивизионном раунде?
Q15	Сколько очков Бронкос набрал за последние три минуты игры против Питтсбурга?
Q16	Кто выиграл Суперкубок XLIX?
Q17	Какой был финальный счет игры чемпионата АФК?
Q18	Сколько времени оставалось на часах, когда Бронкос сделал перехват, который завершил игру Чемпионата АФК?
Q19	Какая команда выиграла дивизионный раунд между Бронкосом и Стилерсом?
Q20	Какой был заключительный счет игры между Бронкосом и Стилерсом?
Q21	Кто выиграл Суперкубок XLIX?
Q22	Сколько секунд осталось в игре, когда Бронкос перехватил пас, что принесло победу в игре?
Q23	Во время игр плей-офф Бронкос кто вообще не делал вброса?
Q24	Кого Бронкос победил в дивизионной игре?
Q25	Сколько заключительных очков набрал Бронкос за последние три минуты игры с Питтсбургом?
Q26	Кого победил Бронкос в игре чемпионата АФК?
Q27	Кого побил Бронкос в 2015 году, чтобы победить в своем дивизионе?
Q28	Кто побил Бронкос, чтобы стать чемпионами АФК?
Q29	Сколько секунд осталось в игре, когда Пэтриотс не смогли перевести 2-очковую конверсию?
Q30	Сколько лет было Пейтону Мэннингу, когда он играл в Суперкубке 50?
Q31	Кому ранее принадлежал рекорд по игре старейшего квотербека в Суперкубке?
Q32	Сколько лет было Джону Элвею, когда он играл в Суперкубке XXXIII?
Q33	Какую роль в настоящее время играет Джон Элвей во франшизе Бронкоса?
Q34	За кого играл Джон Элвей в Суперкубке XXXIII?
Q35	Какая команда стала победителем Суперкубка XXXIII?
Q36	Кто является генеральным менеджером Бронкоса?
Q37	Сколько лет было Элвею, когда он выиграл Суперкубок XXXIII?
Q38	Кто был старейшим квотербеком в какой-либо игре Суперкубка?
Q39	Сколько команд достигли Суперкубка, когда в их составе играл Мэннинг?
Q40	Сколько различных команд довел до Суперкубка Пейтон Мэннинг?
Q41	Кто является старейшим квотербеком, который играл в Суперкубке?
Q42	Кто был старейшим квотербеком в Суперкубке до Мэннинга?
Q43	Какой Суперкубок выиграл Элвей в 38 лет?
Q44	Кто был первым квотербеком, который привел две команды к более чем одному Суперкубку?
Q45	Сколько лет было Мэннингу, когда он играл в Суперкубке 50?
Q46	Как зовут квотербека, которому было 38 лет в Суперкубке XXXIII?
Q47	Сколько премий Грэмми выиграла Леди Гага?
Q48	Что пела Леди Гага?
Q49	Какую награду получила Марли Мэтлин?
Q50	Что Марли Мэтлин перевела?
Q51	На какой язык Марли Мэтлин перевела государственный гимн?
Q52	Кто пел государственный гимн?
Q53	Какая актриса выполнила перевод на американский язык жестов для игры?
Q54	Кто исполнил государственный гимн на Суперкубке 50?
Q55	Какой актер выполнял сурдоперевод государственного гимна на Суперкубке 50?
Q56	Кто исполнил государственный гимн на Суперкубке 50?
Q57	Сколько премий Грэмми выиграла Леди Гага согласно тексту?
Q58	Кто выполнил перевод государственного гимна на язык жестов на Суперкубке 50?
Q59	На линии скольких ярдов Каролина начинала, когда в игре оставалось 4:51?
Q60	Кто потерял мяч на 3rd-and-9?
Q61	Как назвали защитника Пэнтерс за воздержание от третьего дауна?
Q62	Какой игрок ввел мяч в игру из 2?
Q63	Кто был принимающим при успешной 2-очковой конверсии?
Q64	Кто выбил мяч у Ньютона на 3rd-and-9?
Q65	Кто завладел утраченным мячом?
