D0	﻿Защита Пэнтерс уступила всего 308 очков, заняв шестое место в лиге, а также лидировала в НФЛ по перехватам с 24 и похвасталась четырьмя попаданиями в Пробоул.
D1	Дифенсив тэкл Пробоула Кейван Шорт лидирует в команде с 11 мешками, а также обеспечил три потери мяча и получил два.
D2	Нападающий Марио Эдисон добавил 6½ мешков.
D3	Линия Пэнтерс также представила ди-энда-ветерана Джареда Аллена, пятикратного участника Пробоула, который был активным лидером по количеству мешков в карьере НФЛ в количестве 136, вместе с ди-эндом Кони Или, у которого было 5 мешков всего за 9 стартов.
D4	Позади них для участия в Пробоуле также были выбраны два из трех стартовых лайнбекеров Пэнтерс: Томас Дэвис и Люк Кикли.
D5	Дэвис собрал 5½ мешков, четыре вынужденных потери мяча и четыре перехвата, в то время как Кикли лидировал в команде по блокировкам (118), форсировал две потери мяча и перехватил четыре своих передачи.
D6	Второй по популярности в Каролине сэйфти Пробоула Курт Колеман, который был лидером команды с максимальным показателем в своей карьере – 7 перехватов, при этом также набрав 88 перехватов, и корнербэк Пробоула Джош Норман, который в течение сезона превратился в шатдаун-корнера и имел четыре перехвата, два из которых были завершены тачдауном.
D7	Бронкос победил Питтсбург Стилерс в дивизионном раунде, 23–16, набрав 11 очков в последние три минуты игры.
D8	Затем они победили действующего чемпиона Суперкубка XLIX Нью-Ингленд Пэтриотс в игре чемпионата АФК, 20–18, перехватив пас на попытку двухочковой конверсии Нью-Ингленд, когда на часах оставалось 17 секунд.
D9	Несмотря на проблемы Мэннинга с перехватами в течение сезона, он не проиграл ни одной в их двух игр плей-офф.
D10	Пейтон Мэннинг стал первым квотербеком, который привел две разных команды к нескольким Суперкубкам.
D11	Он также самый старый защитник, когда-либо игравший в Суперкубке в возрасте 39 лет.
D12	Прошлый рекорд удерживал Джон Элвей, который привел Бронкос к победе в Суперкубке XXXIII в возрасте 38 лет и в настоящее время является исполнительным вице-президентом по футболу и генеральным директором Денвера.
D13	Шестикратный обладатель Грэмми и номинант на Оскар Леди Гага исполнила государственный гимн, а лауреат премии Оскар Марли Мэтлин обеспечила перевод на Американский язык жестов (ASL).
D14	Когда основного времени оставалось 4:51, команда Каролины получила мяч на собственной 24-ярдовой линии с возможностью организовать победную атаку и вскоре столкнулась с 3rd-and-9.
D15	В следующей игре Миллер забрал мяч у Ньютона, и после того, как несколько игроков бросились к нему, он сделал длинный отскок назад и передал мяч Уарду , который вернул его на пять ярдов к 4-ярдовой линии Пэнтерс.
D16	Хотя несколько игроков бросились в кучу, чтобы попытаться забрать его, Ньютон этого не сделал, и его недостаточная агрессивность впоследствии подверглась серьезной критике.
D17	Тем временем, нападение Денвера удерживалось за пределами зоны защиты в течение трех игр, но штрафной корнербэку Джошу Норману принес Бронкосу новую серию даунов.
D18	Затем Андерсон забил гол после перехвата с 2-ярдовом тачдауном, и Мэннинг завершил пас Бенни Фаулеру для 2-очковой конверсии, давая Денверу преимущество 24–10, когда оставалось 3:08 и, по сути, отказываясь от игры.
D19	У Каролины было еще два драйва, но ей не удавалось получить первый даун на каждом.
D20	Рядом, в Ogród Saski (Саксонский сад), Летний театр работал с 1870 по 1939 гг., а в межвоенный период театральный комплекс также включал Momus, первое варшавское литературное кабаре и музыкальный театр Леона Шиллера "Мелодрам".
D21	Театр Войцеха Богуславского (1922–26) был лучшим примером "Польского монументального театра".
D22	С середины 1930-х годов в здании Большого театра находился Институт драматического искусства Упати - первая государственная академия драматического искусства с актерским и режиссерским отделениями.
D23	Их местные конкуренты, Полония Уорсоу, имеют значительно меньше болельщиков, но им удалось выиграть Чемпионат Экстракласса в 2000 году.
D24	Они также выиграли чемпионат страны в 1946 года, а также дважды выиграли кубок.
D25	Свой стадион Полонии находится по адресу Konwiktorska Street, в десяти минутах ходьбы к северу от Старого города.
D26	Полония была переведена в низшую лигу из высшей лиги страны в 2013 году из-за их катастрофического финансового положения.
D27	Сейчас они играют в 4-й лиге (5-й уровень в Польше) - нижней профессиональной лиге в структуре Национальной польской футбольной ассоциации (PZPN).
D28	На протяжении всего своего существования Варшава была мультикультурным городом.
D29	Согласно переписи 1901 года, из 711 988 жителей 56,2% были католики, 35,7% евреи, 5% греческие православные христиане и 2,8% протестанты.
D30	Восемь лет спустя, в 1909 году, было 281 754 евреев (36,9%), 18 189 протестантов (2,4%) и 2818 мариавитов (0,4%).
D31	Это привело к строительству сотен мест религиозного культа во всех частях города.
D32	Большинство из них были уничтожены после Варшавского восстания 1944 года.
D33	После войны новые коммунистические власти Польши препятствовали строительству церквей, и лишь небольшая их часть была восстановлена.
D34	Основной единицей территориального деления в Польше является коммуна (гмина).
D35	Город - это тоже коммуна, но с городским уставом.
D36	И города, и коммуны управляются мэром, но в коммунах мэром является войт (по-польски wójt), а в городах - бурмистр.
D37	Некоторые более крупные города получают право, то есть задачи и привилегии, которыми обладают подразделения второго уровня территориального деления - уезды или поветы.
D38	Примером такого права является регистрация автомобиля: гмина не может регистрировать автомобили, это задача повета (то есть, регистрационный номер зависит от того, в каком повете был зарегистрирован автомобиль, а не от гмины).
D39	В этом случае мы говорим о городском округе или городском повете.
D40	Такими городами являются, например, Люблин, Краков, Гданьск, Познань.
D41	В Варшаве ее округа также имеют некоторые права повета - например, уже упоминавшаяся регистрация автомобилей.
D42	Например, округ Воля имеет свои собственные документальные подтверждения, а округ Урсынув - свои собственные (и автомобили из Воли имеют другой тип регистрационного номера, чем у Урсынува).
D43	Но, например, районы в Кракове не имеют прав повета, поэтому регистрационные номера в Кракове одного типа для всех округов.
D44	Первая Варшавская фондовая биржа была основана в 1817 году и продолжала торговать до Второй мировой войны.
D45	Она была восстановлена в апреле 2000 года, после окончания послевоенного коммунистического контроля над страной и восстановления свободной рыночной экономики.
D46	На сегодняшний день Варшавская фондовая биржа (ВФБ) по многим показателям является крупнейшим рынком в регионе, с зарегистрированными 374 компаниями и общей капитализацией 162 584 млн. евро по состоянию на 31 августа 2009 года.
D47	С 1991 по 2000 годы фондовая биржа, по иронии судьбы, находилась в здании, которое ранее использовалось в качестве штаб-квартиры Польской объединенной рабочей партии (ПОРП).
D48	До прибытия Роллона, его население не отличалось от Пикардии или Иль-де-Франса, которые считались "франкскими".
D49	Более ранние поселенцы викингов начали прибывать в 880-х годах, но были разделены между колониями на востоке (Румуа и Пеи-де-Ко) вокруг низменной долины Сены и на западе, на полуострове Котантен, и были разделены традиционной пагией, где население оставалось примерно так же, почти без иностранных поселенцев.
D50	Солдаты Роллона, которые совершали набеги и, в конечном счете, заселяли Нормандию и части атлантического побережья, включали датчан, норвежцев, норвежцев-гэлов, викингов Оркнейских островов, возможно шведов, и англо-датчан из английского Дейнло, находящегося под контролем норвежцев.
D51	Двумя наиболее известными нормандскими семьями, прибывшими в Средиземное море, были потомки Танкреда Отвильского и семьи Дренго, из которой Рейнульф Дренго в 1030 году получил графство Аверса, первое норманнское владение на юге, от герцога Сергия IV Неаполя.
D52	Семья Отвиля получила княжеское звание, провозгласив князя Гваймара IV Салернского "Герцогом Апулии и Калабрии".
D53	Он незамедлительно наградил их избранного лидера Уильяма Айрона Арма графским титулом в его столице Мельфи.
D54	Впоследствии семья Дренго получила княжество Капуя и в 1047 году император Генрих 3 юридически пожаловал дворянство лидеру Отвиля, Дрого, как "dux et magister Italiae comesque Normannorum totius Apuliae et Calabriae" ("герцогу и мастеру Италии и графу всех норманнов Апулии и Калабрии").
D55	Вскоре после того, как норманны начали проникать в Италию, они вошли в Византийскую империю, а затем в Армению, сражаясь против печенегов, булгар и в особенности турок-сельджуков.
D56	Нормандские наемники сначала были призваны ломбардцами на юг, чтобы выступить против византийцев, но вскоре они сражались на византийской службе на Сицилии.
D57	Они были заметны вместе с варяжским и ломбардским контингентами в сицилийской кампании Джорджа Маньяка в 1038–40 гг.
D58	Существует спор, были ли норманны на греческом богослужении на самом деле из нормандской Италии, и теперь, похоже, оттуда пришли лишь немногие.
D59	Также неизвестно, сколько "франков", как их называли византийцы, были норманнами, а не другими французами.
D60	Некоторые норманны присоединились к турецким силам, чтобы помочь в уничтожении армянских вассальных государств Сасун и Тарон в дальневосточной Анатолии.
D61	Позже многие поступили на службу в армянском государстве на юге, в Киликии и в горах Тавр.
D62	Норманн по имени Урсель привел отряд "франков" в верхнюю долину Евфрата в северной Сирии.
D63	С 1073 по 1074 г. 8 000 из 20 000 военнослужащих армянского генерала Филарета Брахамиуса были норманнами, бывшими из Урселя, во главе с Раймбо.
D64	Они даже дали название своей этнической принадлежности своему замку: Афранджи, что означает "франки".
D65	Известная торговля между Амальфи и Антиохией и между Бари и Тарсусом может быть связана с присутствием в этих городах итало-норманнов, в то время как Амальфи и Бари находились под норманнским правлением в Италии.
D66	Между 1402 и 1405 годами экспедиция под руководством норманнского дворянина Жана де Бетенкура и Пуатевина Гадифера де ла Салья завоевала канарские острова Лансароте, Фуэртевентура и Эль Йерро у атлантического побережья Африки.
D67	Их войска были собраны в Нормандии, Гаскони и позже были усилены кастильскими колонистами.
D68	Тесла был известен своими достижениями и умением представить товар, что, в конечном итоге, в массовой культуре принесло ему репутацию типичного "сумасшедшего ученого".
D69	Его патенты принесли ему значительную сумму денег, большая часть которой была использована для финансирования его собственных проектов с разной степенью успеха.: 121,154 Большую часть своей жизни он прожил в ряде нью-йоркских отелей, до выхода на пенсию.
D70	Тесла умер 7 января 1943 года.
D71	После его смерти его работа была предана относительному забвению, но в 1960 году на Генеральной конференции по мерам и весам единицу плотности магнитного потока назвали теслой в его честь.
D72	С 1990-х годов к Тесле возродился общественный интерес.
D73	После ухода из компании Эдисона Тесла сотрудничал с двумя бизнесменами в 1886 году, Робертом Лейном и Бенджамином Вейлом, которые согласились финансировать компанию электроосвещения от имени Теслы, Tesla Electric Light & Manufacturing.
D74	Компания устанавливала системы освещения на основе электрической дуговой подсветки, разработанные Теслой, а также имела проекты коммутаторов динамо-машин - первые патенты, выданные Тесле в США.
D75	В 1900 году Тесла получили патенты на "систему передачи электрической энергии" и "электрический передатчик".
D76	Когда Гульельмо Маркони сделал свою знаменитую первую в истории трансатлантическую радиопередачу в 1901 году, Тесла с сарказмом заметил, что это сделано с 17 патентами Теслы, хотя мало что подтверждает это утверждение.
D77	Это было началом многолетних патентных баталий за радио с решением суда в пользу патентов Теслы в 1903 году, за которым последовало обратное решение в пользу Маркони в 1904 году.
D78	В 1943 году решением Верховного суда США восстановлены предыдущие патенты Теслы, Оливера Лоджа и Джона Стоуна.
D79	Суд заявил, что его решение не имеет отношения к иску Маркони, как первому, кто добился радиопередачи, просто потому, что претензии Маркони на некоторые патенты были сомнительными, он не мог заявлять о нарушении тех же патентов (утверждается, что высокий суд пытался аннулировать иск периода Первой мировой войны против правительства США со стороны компании Marconi путем простого восстановления предыдущего патента Теслы).
D80	В последующие годы после этих слухов ни Тесла, ни Эдисон не выиграли премию (хотя Эдисон действительно получил одну из 38 возможных номинаций в 1915 году, а Тесла получил одну из 38 возможных номинаций в 1937 году).
D81	Однако его религиозные взгляды остаются неопределенными из-за других сделанных им заявлений.
D82	Например, в своей статье "Машина для завершения войны", опубликованной в 1937 году, Тесла заявил:
D83	Теория сложности вычислений является разделом теории вычислений в теоретической информатике, которая фокусируется на классификации вычислительных задач в соответствии с присущей им сложностью и связывает эти классы с друг с другом.
D84	Под вычислительной задачей понимается задача, которая в принципе поддается решению с помощью компьютера, что эквивалентно утверждению, что задача может быть решена путем механического применения математических действий, таких как алгоритм.
D85	При рассмотрении вычислительных задач экземпляр задачи представляет собой строку над алфавитом.
D86	Обычно под алфавитом понимается двоичный алфавит (то есть набор {0,1}), и, таким образом, строки являются строками битов.
D87	Как и в реальном компьютере, математические объекты, кроме строк битов, должны быть соответствующим образом закодированы.
D88	Например, целые числа могут быть представлены в двоичной записи, а графики могут быть закодированы непосредственно посредством их матрицы смежности или путем кодирования их списков смежности в двоичном виде.
D89	Это склоняет к мысли, что понятие функциональных задач гораздо богаче, чем понятие задачи принятия решения.
D90	Однако на самом деле это не так, поскольку функциональные задачи могут быть переформулированы в задачи принятия решения.
D91	Например, умножение двух целых чисел может быть выражено как набор троек (a, b, c), при этом выполняется соотношение a × b = c.
D92	Решение, является ли данная тройка членом этого множества, соответствует решению задачи умножения двух чисел.
D93	Для точного определения того, что это означает решить задачу с использованием заданного количества времени и пространства, используется вычислительная модель, такая как детерминированная машина Тьюринга.
D94	Время, необходимое детерминированной машине Тьюринга M на входе x, представляет собой общее число переходов состояний или действий, которые машина делает перед тем, как останавливается и выдает ответ ("да" или "нет").
D95	Говорят, что машина Тьюринга M работает в течение времени f(n), если время, требуемое M, на каждом входе длины n не превышает f(n).
D96	Задача принятия решения A может быть решена за время f(n), если существует машина Тьюринга, работающая за время f (n), которая решает задачу.
D97	Поскольку теория сложности заинтересована в классификации задач на основе их сложности, она определяет наборы задач на основе некоторых критериев.
D98	Например, набор задач, решаемых в течение времени f(n) на детерминированной машине Тьюринга, затем обозначается DTIME (f(n)).
D99	Многие известные классы сложности подозреваются как неравные, но это не было доказано.
D100	Например, P ⊆ NP ⊆ PP ⊆ PSPACE, но возможно, что P = PSPACE.
D101	Если P не равно NP, то P также не равно PSPACE.
D102	Поскольку существует много известных классов сложности между P и PSPACE, таких как RP, BPP, PP, BQP, MA, PH и т. д., возможно, что все эти классы сложности сливаются в один класс.
D103	Доказательство того, что любой из этих классов является неравным, станет большим прорывом в теории сложности.
D104	﻿В прошлые времена телесные наказания (шлепки, шлепки лопаткой, удары тростью, сечение розгами с целью причинить физическую боль) были одной из самых распространенных форм дисциплинарного взыскания в большинстве школ мира.
D105	В большинстве западных стран и в некоторых других телесные наказания теперь запрещены, однако они остаются законными в США, согласно решению Верховного суда США от 1977 года, в соответствии с которым шлепанье лопаткой не нарушает конституцию США.
D106	Учителя в Уэльсе могут зарегистрироваться в профсоюзах, таких как ATL, NUT или NASUWT, при этом, согласно отчетам за последние годы, средний возраст учителей в Уэльсе снижается, так что в последнее время учители становятся все моложе.
D107	Одной из причин для растущего беспокойства являются нападения на учителей в школах Уэльса, достигшие исторического пика между 2005 и 2010 годами.
D108	В США каждый из штатов определяет требования, необходимые для получения разрешения на преподавательскую деятельность в общественных учебных заведениях.
D109	Сертификация преподавателя занимает в среднем три года, однако преподаватели могут получить разрешение сроком всего на десять лет.
D110	Преподаватели общественных школ обязаны иметь степень бакалавра, при этом большинство из них должно иметь лицензию от того штата, в котором они преподают.
D111	Многие независимые школы не требуют сертификации своих учителей, при условии высокого соответствия стандартам программы «Ни одного отстающего ребенка».
D112	Кроме того, требования к временным или замещающим преподавателям не настолько строгие, как к учителям с полной занятостью.
D113	По оценкам Бюро трудовой статистики, в США работает 1,4 миллиона преподавателей начальной школы, 674 000 учителей средней школы и 1 миллион учителей старшей школы.
D114	В индуизме духовные наставники называются гуру, при этом во многих ответвлениях индуизма — в особенности на Западе — духовному наставничеству придается необычайно высокое значение, так что гуру имеют огромное влияние на своих послушников.
D115	В тибетском буддизме тибетские преподаватели Дхармы обычно называются ламами.
D116	Лама, прошедший практики пховы и сиддхи и сознательно обрекающий себя на перерождение, зачастую много раз, чтобы продолжить обет Бодхисаттвы, называется Тулку.
D117	Писания Лютера получили широкое распространение и достигли Франции, Англии и Италии уже в 1519 году.
D118	Студенты заполоняли Виттенберг, чтобы послушать проповеди Лютера.
D119	Он опубликовал короткий комментарий к «Посланию Галатам» и свой курс о псалмах.
D120	Этот ранний этап деятельности Лютера оказался самым творческим и эффективным.
D121	Три из самых знаменитых его работ были опубликованы в 1520 году: «К христианскому дворянству немецкой нации», «О вавилонском пленении церкви» и «О свободе христианина».
D122	Летом 1521 года Лютер расширил свою критику, перейдя от рассмотрения индивидуальных способов приобретения благочестия, таких как индульгенции и паломничество, к доктринам, лежащим в самом сердце всех религиозных практик церкви.
D123	В своем трактате «Об упразднении частных месс», он обличил как идолопоклонничество идею того, что месса означает жертву и утверждал, что месса — это дар, который следует с благодарностью принимать всем приходом.
D124	В его эссе «Об исповеди, имеет ли Папа право требовать ее» отрицалось принудительное исповедование и поощрялось частное исповедование и отпущение грехов, так как «каждый христианин является исповедником».
D125	В ноябре Лютер написал «Трактат Мартина Лютера о монашеском обете».
D126	Он уверял монахов и монахинь в том, что они могут нарушать данные ими обеты без греха, потому что обеты есть ничто иное, как незаконные и напрасные попытки обрести спасение.
D127	Опубликованный во время растущего спроса на немецкоязычные публикации, перевод Библии Лютера быстро стал популярным и влиятельным.
D128	Этот перевод внес значительный вклад в развитие немецкого языка и литературы.
D129	Снабженный комментариями и вступлениями Лютера, этот перевод Библии с гравюрами по дереву в исполнении Лукаса Кранаха, использовавшего антипапские иллюстрации, сыграл главную роль в распространении учения Лютера по всей Германии.
D130	Библия Лютера повлияла на другие национальные переводы Писания, например, на английскую Библию Вильяма Тиндейла (с 1525 года), ставшую предшественницей Библии короля Якова.
D131	При написании гимнов Лютер часто вдохновлялся особенными событиями в своей жизни и в развивающейся Реформации.
D132	Все началось с того момента, когда он узнал о казни Иоганна Эша и Генриха Воса, первых мучеников, пострадавших от Римской католической церкви за свою приверженность лютеранству, что послужило для Лютера толчком к написанию гимна "Ein neues Lied wir heben an" («Новую песнь мы возносим»), которая известна среди английских верующих в переводе Джона К. Мессенджера и называется по своей первой строчке «Развеянные беспечными ветрами...», на мотив песни «Ибстон», сочиненной в 1875 Марией К. Тиддеман.
D133	Позднее был найден лист бумаги, на котором Лютер оставил свою последнюю запись.
D134	Запись была сделана на латинском языке, помимо записи «Мы попрошайки», которую он написал на немецком языке.
D135	Южная Калифорния состоит из урбанизированной территории с плотной застройкой, где расположены одни из крупнейших городских районов штата, а также из обширных территорий, которые остаются незастроенными.
D136	Это третий по численности мегалополис в США после мегалополиса Великих озер и Северо-восточного мегалополиса.
D137	Большая часть Южной Калифорнии славится своими большими и широко раскинутыми пригородными районами и использованием автомобилей и шоссе.
D138	Доминирующими районами являются Лос-Анджелес, округ Ориндж, Сан-Диего и Риверсайд-Сан-Бернардино, каждый из которых является центром соответствующего метрополитенского ареала и состоит из многочисленных небольших городов и населенных пунктов.
D139	На урбанизированной территории также расположен международный метрополитенский регион, включающий в себя Сан-Диего и Тихуану, образованный городской территорией, которая распространяется на Нижнюю Калифорнию.
D140	Южная Калифорния состоит из одного Объединенного статистического ареала, восьми метрополитенских статистических ареалов, одного международного метрополитенского ареала и нескольких метрополитенских районов.
D141	В этом регионе расположены два расширенных метрополитенских ареала с численностью населения свыше пяти миллионов человек.
